site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
c3,45,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",e,26.7,f,n,,,,,,u,,,,,,,,
c3,46,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,25.2,f,n,,,,,,u,,,,,,,,
c3,47,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,23.3,f,n,,,,,,u,,,,,,,,
c3,48,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,26.3,f,n,,,,,,u,,,,a,0,0,0,(very small chip)
c3,49,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,25.1,f,n,,,,,,u,,,,,,,,
c3,50,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,22.6,f,r,,,,,,meso,,,,n,0,0,0,
c3,51,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",e,12.2,m,n,,,,,,u,,,,,,,,
c3,52,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",e,21,f,n,,,,,,u,,,,,,,,
c6,1,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,29.1,m,r,,,,,,cloa,,,,,,,,
c6,2,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,24.1,f,r,,,,,,euha,,,,,,,,
c6,3,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,29.5,f,n,,,,,,u,,,,,,,,
c6,4,12-Feb,14-Feb-12,"TS, RH, AW",16-Feb-12,AW,"AW, TS, (RH)",b,28.9,f,r,,,,,,euha,,,,,,,,
